,Dataset,Cost,LR+LR,LR+MLP,LR+MLP2,LR+RF,MLP+LR,MLP+MLP,MLP+MLP2,MLP+RF,MLP2+LR,MLP2+MLP,MLP2+MLP2,MLP2+RF,RF+LR,RF+MLP,RF+MLP2,RF+RF
0,concrete,0.2,1.31 (1.28),0.20 (0.00),0.20 (0.00),0.20 (0.00),1.32 (1.54),0.20 (0.00),0.23 (0.07),0.20 (0.00),1.15 (0.80),0.20 (0.00),0.93 (1.21),0.20 (0.00),1.42 (1.88),0.20 (0.00),1.37 (1.74),0.20 (0.00)
1,concrete,0.5,1.61 (1.29),0.50 (0.00),0.50 (0.00),0.50 (0.00),1.61 (1.54),0.50 (0.00),0.53 (0.07),0.50 (0.00),1.45 (0.80),0.50 (0.00),1.24 (1.20),0.50 (0.00),1.71 (1.86),0.50 (0.00),1.72 (1.71),0.50 (0.00)
2,concrete,1.0,2.10 (1.28),1.00 (0.00),1.00 (0.00),1.00 (0.00),2.09 (1.53),1.00 (0.00),1.02 (0.06),1.00 (0.00),2.19 (0.88),1.00 (0.00),1.73 (1.20),1.02 (0.05),2.21 (1.85),1.00 (0.00),2.21 (1.69),1.00 (0.00)
3,concrete,2.0,3.08 (1.26),2.00 (0.00),2.00 (0.00),2.00 (0.00),3.08 (1.52),2.00 (0.00),2.02 (0.06),2.00 (0.00),3.24 (0.92),2.00 (0.00),2.81 (1.32),2.01 (0.05),3.87 (2.59),2.03 (0.09),3.27 (1.62),2.00 (0.05)
4,wine,0.2,0.22 (0.01),0.21 (0.02),0.21 (0.01),0.19 (0.01),0.19 (0.02),0.19 (0.03),0.18 (0.02),0.17 (0.01),0.20 (0.02),0.20 (0.02),0.19 (0.01),0.17 (0.02),0.21 (0.02),0.21 (0.03),0.20 (0.03),0.18 (0.01)
5,wine,0.5,0.33 (0.03),0.33 (0.03),0.33 (0.02),0.31 (0.02),0.25 (0.04),0.25 (0.03),0.24 (0.02),0.24 (0.02),0.28 (0.04),0.27 (0.03),0.26 (0.02),0.25 (0.02),0.29 (0.04),0.29 (0.04),0.28 (0.04),0.28 (0.03)
6,wine,1.0,0.36 (0.05),0.35 (0.03),0.37 (0.03),0.34 (0.03),0.25 (0.04),0.25 (0.04),0.25 (0.03),0.25 (0.04),0.27 (0.04),0.27 (0.04),0.28 (0.03),0.27 (0.04),0.30 (0.05),0.29 (0.05),0.30 (0.05),0.30 (0.06)
7,wine,2.0,0.36 (0.05),0.36 (0.05),0.36 (0.03),0.36 (0.04),0.25 (0.04),0.25 (0.04),0.25 (0.04),0.25 (0.04),0.26 (0.04),0.27 (0.04),0.27 (0.04),0.26 (0.04),0.30 (0.07),0.29 (0.05),0.30 (0.06),0.31 (0.07)
8,airfoil,0.2,0.20 (0.00),0.26 (0.08),0.68 (0.33),0.20 (0.00),0.69 (0.11),0.30 (0.10),0.38 (0.18),0.20 (0.00),0.36 (0.18),0.25 (0.05),0.50 (0.48),0.20 (0.01),0.31 (0.13),0.29 (0.11),0.37 (0.12),0.20 (0.00)
9,airfoil,0.5,0.50 (0.00),0.56 (0.07),0.97 (0.32),0.50 (0.01),0.98 (0.11),0.60 (0.10),0.73 (0.19),0.50 (0.00),0.70 (0.19),0.56 (0.06),0.82 (0.46),0.50 (0.00),0.62 (0.14),0.59 (0.09),0.68 (0.12),0.50 (0.01)
