,Dataset,Cost,LR+LR,LR+MLP,LR+MLP2,LR+RF,MLP+LR,MLP+MLP,MLP+MLP2,MLP+RF,MLP2+LR,MLP2+MLP,MLP2+MLP2,MLP2+RF,RF+LR,RF+MLP,RF+MLP2,RF+RF
0,concrete,0.2,0.98 (0.02),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.97 (0.03),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.96 (0.03),1.00 (0.00),0.99 (0.01),1.00 (0.00),0.95 (0.04),1.00 (0.00),0.94 (0.05),1.00 (0.00)
1,concrete,0.5,0.98 (0.02),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.97 (0.03),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.96 (0.03),1.00 (0.00),0.99 (0.01),1.00 (0.00),0.95 (0.04),1.00 (0.00),0.94 (0.05),1.00 (0.00)
2,concrete,1.0,0.98 (0.02),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.97 (0.03),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.96 (0.03),1.00 (0.00),0.99 (0.01),1.00 (0.00),0.95 (0.04),1.00 (0.00),0.93 (0.05),1.00 (0.00)
3,concrete,2.0,0.98 (0.02),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.97 (0.03),1.00 (0.00),1.00 (0.00),1.00 (0.00),0.95 (0.03),1.00 (0.00),0.98 (0.01),1.00 (0.00),0.94 (0.05),1.00 (0.00),0.92 (0.05),0.99 (0.01)
4,wine,0.2,0.76 (0.08),0.64 (0.05),0.55 (0.05),0.70 (0.06),0.58 (0.04),0.52 (0.05),0.48 (0.05),0.51 (0.04),0.62 (0.06),0.55 (0.04),0.50 (0.03),0.55 (0.05),0.62 (0.05),0.55 (0.05),0.50 (0.04),0.60 (0.05)
5,wine,0.5,0.21 (0.04),0.27 (0.03),0.24 (0.03),0.21 (0.05),0.04 (0.04),0.09 (0.05),0.15 (0.03),0.09 (0.02),0.10 (0.07),0.17 (0.05),0.20 (0.03),0.14 (0.03),0.15 (0.09),0.18 (0.06),0.22 (0.04),0.16 (0.04)
6,wine,1.0,0.01 (0.01),0.05 (0.01),0.07 (0.02),0.04 (0.02),0.00 (0.00),0.01 (0.01),0.03 (0.01),0.01 (0.01),0.01 (0.01),0.03 (0.02),0.06 (0.01),0.03 (0.01),0.02 (0.02),0.04 (0.02),0.06 (0.02),0.03 (0.02)
7,wine,2.0,0.00 (0.00),0.01 (0.01),0.02 (0.01),0.01 (0.01),0.00 (0.00),0.00 (0.00),0.01 (0.00),0.00 (0.00),0.00 (0.00),0.01 (0.01),0.01 (0.01),0.01 (0.01),0.00 (0.00),0.00 (0.01),0.01 (0.01),0.01 (0.01)
8,airfoil,0.2,1.00 (0.00),0.98 (0.02),0.91 (0.05),1.00 (0.00),0.94 (0.01),0.98 (0.01),0.94 (0.02),1.00 (0.00),0.95 (0.04),0.95 (0.03),0.89 (0.03),0.99 (0.01),0.93 (0.06),0.95 (0.04),0.90 (0.05),1.00 (0.00)
9,airfoil,0.5,1.00 (0.00),0.98 (0.01),0.90 (0.05),0.99 (0.01),0.94 (0.01),0.97 (0.01),0.92 (0.01),0.99 (0.01),0.94 (0.04),0.94 (0.03),0.87 (0.03),0.96 (0.02),0.91 (0.07),0.93 (0.04),0.87 (0.05),0.95 (0.03)
10,airfoil,1.0,1.00 (0.00),0.98 (0.02),0.89 (0.04),0.97 (0.01),0.93 (0.01),0.97 (0.02),0.91 (0.02),0.95 (0.02),0.91 (0.05),0.90 (0.04),0.82 (0.04),0.89 (0.03),0.88 (0.07),0.88 (0.05),0.79 (0.06),0.83 (0.04)
11,airfoil,2.0,1.00 (0.01),0.97 (0.02),0.87 (0.05),0.93 (0.02),0.92 (0.02),0.94 (0.02),0.86 (0.02),0.87 (0.03),0.83 (0.06),0.80 (0.05),0.69 (0.06),0.71 (0.04),0.78 (0.06),0.76 (0.07),0.63 (0.05),0.62 (0.06)
12,energy,0.2,0.80 (0.09),0.79 (0.04),0.84 (0.04),0.97 (0.02),0.77 (0.07),0.81 (0.05),0.83 (0.04),0.94 (0.03),0.84 (0.06),0.81 (0.07),0.77 (0.06),0.90 (0.04),0.62 (0.05),0.56 (0.08),0.46 (0.05),0.47 (0.04)
13,energy,0.5,0.78 (0.09),0.78 (0.04),0.79 (0.05),0.79 (0.05),0.74 (0.07),0.80 (0.06),0.79 (0.05),0.80 (0.04),0.74 (0.08),0.70 (0.07),0.67 (0.09),0.69 (0.08),0.27 (0.07),0.25 (0.04),0.24 (0.05),0.23 (0.04)
14,energy,1.0,0.72 (0.08),0.74 (0.04),0.71 (0.06),0.59 (0.07),0.68 (0.07),0.77 (0.05),0.71 (0.07),0.60 (0.05),0.56 (0.11),0.49 (0.09),0.48 (0.08),0.48 (0.07),0.01 (0.02),0.03 (0.04),0.08 (0.03),0.06 (0.02)
15,energy,2.0,0.63 (0.07),0.67 (0.03),0.53 (0.07),0.41 (0.06),0.60 (0.05),0.66 (0.06),0.56 (0.07),0.46 (0.06),0.35 (0.07),0.37 (0.08),0.34 (0.07),0.30 (0.06),0.00 (0.00),0.01 (0.02),0.03 (0.01),0.01 (0.01)
16,housing,0.2,0.85 (0.09),1.00 (0.01),0.83 (0.08),1.00 (0.00),0.79 (0.12),0.98 (0.02),0.74 (0.06),1.00 (0.00),0.82 (0.11),0.97 (0.04),0.79 (0.07),1.00 (0.00),0.83 (0.11),0.95 (0.04),0.85 (0.05),1.00 (0.00)
17,housing,0.5,0.85 (0.09),1.00 (0.01),0.83 (0.07),1.00 (0.00),0.79 (0.12),0.97 (0.02),0.74 (0.06),1.00 (0.00),0.81 (0.12),0.96 (0.04),0.78 (0.07),1.00 (0.00),0.82 (0.11),0.95 (0.04),0.84 (0.04),1.00 (0.01)
18,housing,1.0,0.85 (0.09),1.00 (0.01),0.81 (0.08),1.00 (0.01),0.78 (0.12),0.96 (0.02),0.73 (0.05),0.99 (0.02),0.81 (0.12),0.96 (0.04),0.77 (0.08),0.99 (0.02),0.81 (0.11),0.94 (0.04),0.82 (0.06),0.99 (0.02)
19,housing,2.0,0.83 (0.09),0.99 (0.01),0.78 (0.09),0.98 (0.03),0.75 (0.11),0.95 (0.03),0.69 (0.06),0.95 (0.06),0.77 (0.10),0.91 (0.05),0.71 (0.05),0.92 (0.08),0.79 (0.10),0.92 (0.05),0.78 (0.06),0.95 (0.05)
20,solar,0.2,0.59 (0.14),0.52 (0.06),0.44 (0.06),0.44 (0.05),0.59 (0.14),0.53 (0.05),0.45 (0.08),0.45 (0.05),0.61 (0.12),0.54 (0.05),0.45 (0.05),0.45 (0.05),0.66 (0.09),0.53 (0.04),0.48 (0.04),0.46 (0.05)
21,solar,0.5,0.36 (0.09),0.34 (0.08),0.27 (0.05),0.27 (0.06),0.38 (0.11),0.35 (0.08),0.28 (0.05),0.28 (0.05),0.38 (0.10),0.37 (0.07),0.29 (0.04),0.30 (0.05),0.40 (0.06),0.40 (0.05),0.32 (0.05),0.32 (0.04)
22,solar,1.0,0.24 (0.05),0.21 (0.08),0.14 (0.05),0.16 (0.03),0.25 (0.06),0.21 (0.08),0.15 (0.05),0.18 (0.04),0.25 (0.05),0.22 (0.07),0.17 (0.05),0.18 (0.03),0.27 (0.05),0.26 (0.06),0.17 (0.03),0.21 (0.03)
23,solar,2.0,0.06 (0.03),0.07 (0.03),0.06 (0.02),0.07 (0.03),0.07 (0.04),0.08 (0.03),0.07 (0.03),0.08 (0.03),0.08 (0.04),0.08 (0.03),0.07 (0.02),0.08 (0.03),0.12 (0.03),0.12 (0.04),0.11 (0.04),0.11 (0.03)
24,forest,0.2,0.98 (0.02),0.94 (0.04),0.80 (0.09),1.00 (0.00),0.98 (0.02),0.93 (0.04),0.78 (0.07),1.00 (0.00),0.98 (0.02),0.94 (0.04),0.78 (0.08),1.00 (0.00),0.98 (0.02),0.95 (0.03),0.81 (0.06),1.00 (0.01)
25,forest,0.5,0.97 (0.02),0.91 (0.04),0.74 (0.09),1.00 (0.01),0.96 (0.03),0.90 (0.05),0.72 (0.08),0.99 (0.01),0.96 (0.04),0.90 (0.05),0.72 (0.08),1.00 (0.01),0.98 (0.02),0.92 (0.05),0.75 (0.08),0.99 (0.01)
26,forest,1.0,0.90 (0.06),0.81 (0.06),0.63 (0.09),0.89 (0.06),0.90 (0.06),0.81 (0.06),0.61 (0.09),0.91 (0.06),0.90 (0.06),0.80 (0.07),0.60 (0.08),0.87 (0.07),0.94 (0.04),0.86 (0.05),0.65 (0.07),0.91 (0.04)
27,forest,2.0,0.46 (0.13),0.49 (0.12),0.41 (0.09),0.50 (0.09),0.53 (0.11),0.47 (0.11),0.42 (0.07),0.49 (0.09),0.48 (0.15),0.47 (0.10),0.42 (0.07),0.47 (0.10),0.64 (0.07),0.57 (0.09),0.45 (0.07),0.55 (0.11)
28,parkinsons,0.2,0.99 (0.01),0.97 (0.01),0.89 (0.01),1.00 (0.00),0.96 (0.03),0.94 (0.02),0.86 (0.02),1.00 (0.00),0.87 (0.10),0.87 (0.04),0.79 (0.06),1.00 (0.00),0.74 (0.05),0.52 (0.04),0.49 (0.03),0.41 (0.04)
29,parkinsons,0.5,0.99 (0.01),0.97 (0.01),0.89 (0.01),1.00 (0.00),0.96 (0.03),0.94 (0.01),0.85 (0.02),1.00 (0.00),0.86 (0.10),0.85 (0.04),0.77 (0.06),1.00 (0.00),0.28 (0.15),0.33 (0.06),0.30 (0.04),0.18 (0.04)
30,parkinsons,1.0,0.99 (0.01),0.97 (0.01),0.89 (0.01),1.00 (0.00),0.95 (0.03),0.93 (0.01),0.85 (0.02),1.00 (0.00),0.83 (0.10),0.82 (0.04),0.74 (0.06),0.98 (0.01),0.03 (0.04),0.14 (0.06),0.13 (0.03),0.07 (0.02)
31,parkinsons,2.0,0.99 (0.01),0.96 (0.01),0.88 (0.01),0.99 (0.01),0.94 (0.04),0.92 (0.02),0.83 (0.02),1.00 (0.00),0.78 (0.09),0.74 (0.05),0.65 (0.06),0.84 (0.03),0.00 (0.00),0.04 (0.03),0.04 (0.02),0.02 (0.01)
